Date,Open,High,Low,Close,Adj Close,Volume
2019-10-31,41.230000,41.360001,40.110001,40.500000,38.512772,12515400
2019-11-01,40.750000,42.290001,40.740002,42.290001,40.214943,9024800
2019-11-04,42.990002,44.619999,42.950001,44.230000,42.059750,13452300
2019-11-05,42.150002,44.040001,40.759998,41.910000,39.853588,19344300
2019-11-06,41.619999,41.709999,39.369999,39.610001,37.666443,17042700
2019-11-07,40.090000,40.660000,38.470001,39.029999,37.114899,15278600
2019-11-08,38.650002,40.200001,38.299999,40.099998,38.132397,13610500
2019-11-11,39.130001,39.330002,38.459999,38.880001,36.972260,14584000
2019-11-12,38.900002,39.250000,38.060001,38.439999,36.553848,12823100
2019-11-13,38.259998,38.360001,37.959999,38.119999,36.249550,9096500
2019-11-14,38.110001,38.680000,37.599998,37.759998,35.907215,8786400
2019-11-15,39.020000,39.340000,38.509998,38.950001,37.038826,14162200
2019-11-18,39.150002,39.470001,38.540001,39.299999,37.371651,13130200
2019-11-19,39.139999,39.139999,37.939999,38.139999,36.268570,12533200
2019-11-20,38.070000,39.250000,37.700001,38.480000,36.591885,10302200
2019-11-21,38.500000,39.380001,38.450001,39.119999,37.200481,9308900
2019-11-22,39.200001,39.939999,38.980000,39.580002,37.637913,9467200
2019-11-25,39.770000,40.570000,39.700001,39.930000,37.970741,10264400
2019-11-26,39.799999,39.930000,38.560001,38.570000,36.677467,13362000
2019-11-27,38.610001,38.880001,38.310001,38.750000,36.848640,7058500
2019-11-29,38.639999,39.070000,38.500000,38.570000,36.677467,4664000
2019-12-02,38.840000,39.160000,38.410000,38.680000,36.782074,10829600
2019-12-03,38.380001,38.439999,37.540001,38.020000,36.154457,11535400
2019-12-04,38.340000,38.790001,38.169998,38.450001,36.563362,10537700
2019-12-05,38.680000,38.799999,37.779999,37.980000,36.116417,9214900
2019-12-06,38.110001,39.029999,38.099998,39.009998,37.095879,10411500
2019-12-09,38.029999,38.080002,37.320000,37.340000,36.241764,17193200
2019-12-10,37.509998,38.049999,37.250000,37.570000,36.465000,12617600
2019-12-11,37.540001,37.970001,37.529999,37.540001,36.435883,7861100
2019-12-12,37.639999,38.529999,37.590000,38.250000,37.125000,9477300
2019-12-13,38.480000,38.810001,37.660000,37.709999,36.600880,9886500
2019-12-16,37.990002,38.720001,37.980000,38.320000,37.192940,9572400
2019-12-17,38.320000,38.770000,38.139999,38.320000,37.192940,13579300
2019-12-18,38.330002,39.029999,38.310001,38.669998,37.532642,9412200
2019-12-19,38.520000,38.959999,38.459999,38.700001,37.561764,7469200
2019-12-20,38.869999,39.230000,38.529999,39.009998,37.862644,17274200
2019-12-23,39.009998,39.720001,38.990002,39.709999,38.542057,10019000
2019-12-24,39.779999,40.369999,39.720001,39.889999,38.716763,4696300
2019-12-26,40.049999,40.580002,39.990002,40.150002,38.969116,6050000
2019-12-27,40.349998,40.490002,40.130001,40.160000,38.978821,7050800
2019-12-30,40.250000,41.119999,40.160000,40.700001,39.502941,10487100
2019-12-31,40.490002,41.220001,40.320000,41.209999,39.997940,10372400
2020-01-02,41.630001,42.689999,41.580002,42.580002,41.327648,13066400
2020-01-03,43.810001,44.250000,43.169998,43.610001,42.327351,15097400
2020-01-06,43.980000,45.450001,43.689999,45.049999,43.724998,16659700
2020-01-07,45.080002,45.279999,44.180000,45.270000,43.938530,12084800
2020-01-08,45.540001,45.779999,44.270000,44.980000,43.657059,12250900
2020-01-09,44.849998,45.400002,43.770000,45.369999,44.035587,14635000
2020-01-10,45.250000,46.209999,44.970001,45.900002,44.549999,10540000
2020-01-13,46.259998,46.610001,45.520000,46.570000,45.200291,8456100
2020-01-14,46.849998,47.430000,46.709999,47.240002,45.850590,12183900
2020-01-15,47.150002,47.509998,46.799999,47.259998,45.869999,7085700
2020-01-16,47.200001,47.580002,46.619999,46.669998,45.297348,9757600
2020-01-17,46.750000,47.009998,45.650002,45.830002,44.482059,14379300
2020-01-21,45.369999,45.450001,44.310001,44.320000,43.016468,10814200
2020-01-22,44.000000,44.040001,42.880001,43.290001,42.016766,12953200
2020-01-23,42.619999,42.740002,42.209999,42.520000,41.269409,10789800
2020-01-24,42.470001,42.689999,41.840000,42.220001,40.978237,8797600
2020-01-27,41.020000,41.410000,40.689999,41.240002,40.027058,9303900
2020-01-28,41.630001,41.660000,41.119999,41.200001,39.988235,7206400
2020-01-29,41.310001,41.520000,40.459999,40.470001,39.279705,6653900
2020-01-30,39.939999,40.669998,39.419998,40.590000,39.396175,9509100
2020-01-31,40.099998,40.360001,39.490002,39.720001,38.551765,16035700
2020-02-03,39.700001,40.419998,39.439999,40.080002,38.901176,8731800
2020-02-04,40.939999,41.439999,40.389999,40.500000,39.308823,7859600
2020-02-05,41.270000,42.380001,41.209999,42.119999,40.881176,8613200
2020-02-06,42.310001,42.450001,41.570000,42.119999,40.881176,6201500
2020-02-07,41.700001,42.000000,41.470001,41.889999,40.657940,5030100
2020-02-10,41.490002,41.560001,40.180000,40.500000,39.308823,7915400
2020-02-11,42.150002,42.360001,41.040001,41.169998,39.959114,12132300
2020-02-12,42.400002,42.610001,41.779999,42.490002,41.240295,8214600
2020-02-13,42.090000,42.380001,41.529999,42.040001,40.803528,8402000
2020-02-14,42.070000,42.240002,41.290001,41.599998,40.376469,6401500
2020-02-18,41.599998,41.689999,40.980000,41.560001,40.337646,9519200
2020-02-19,41.860001,42.720001,41.529999,42.509998,41.259705,7536300
